Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
EDUARDO CURY;PSDB;São Paulo;353;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Não;;GOVERNO;-10.708039;13.405984
CORONEL TADEU;PSL;São Paulo;354;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Não;Não;;GOVERNO;18.991766;-10.2790365
FAUSTO PINATO;PP;São Paulo;355;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Sim;;GOVERNO;-7.1411133;14.050506
DAVID SOARES;DEM;São Paulo;356;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;1.6621547;13.618508
ENRICO MISASI;PV;São Paulo;357;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;;MINORIA;12.564138;-5.6780744
GENERAL PETERNELLI;PSL;São Paulo;358;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Sim;Obstrução;Não;Não;Não;Não;;GOVERNO;16.117632;-10.153402
IVAN VALENTE;PSOL;São Paulo;359;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Obstrução;Obstrução;Não;;OPOSIÇÃO;-3.3192673;-18.637058
GILBERTO NASCIMENTO;PSC;São Paulo;360;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Sim;Não;;GOVERNO;15.52184;3.7616334
GENINHO ZULIANI;DEM;São Paulo;361;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;GOVERNO;-10.25194;7.427137
HERCULANO PASSOS;MDB;São Paulo;362;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Não;;GOVERNO;-7.88898;-1.9022692
GUIGA PEIXOTO;PSL;São Paulo;363;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;20.101149;-12.76286
JOICE HASSELMANN;PSL;São Paulo;364;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;;GOVERNO;-5.188976;3.2786067
JÚNIOR BOZZELLA;PSL;São Paulo;365;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não;;GOVERNO;16.11217;-12.225281
KIM KATAGUIRI;DEM;São Paulo;366;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Não;Sim;;GOVERNO;16.145935;-3.1394734
LUIZ CARLOS MOTTA;PL;São Paulo;367;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;MINORIA;16.552229;8.780806
LUIZ PHILIPPE DE ORLEANS E BRAG;PSL;São Paulo;368;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Não;Não;;GOVERNO;16.51615;-14.866237
MARCO BERTAIOLLI;PSD;São Paulo;369;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;GOVERNO;18.00083;8.803417
MARCIO ALVINO;PL;São Paulo;370;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Não;;MINORIA;17.190859;9.537585
LUIZA ERUNDINA;PSOL;São Paulo;371;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não Votou;Não;;OPOSIÇÃO;-5.942257;-18.453789
PAULO PEREIRA DA SILVA;Solidariedade;São Paulo;372;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;;MINORIA;-4.9460545;9.905265
MARCOS PEREIRA;PRB;São Paulo;373;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;-9.163612;3.2690074
MARIA ROSAS;PRB;São Paulo;374;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;14.028299;19.978022
MILTON VIEIRA;PRB;São Paulo;375;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;;GOVERNO;4.5081325;16.833235
PAULO TEIXEIRA;PT;São Paulo;376;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-16.832478;-24.487646
POLICIAL KATIA SASTRE;PL;São Paulo;377;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Não;;MINORIA;-8.307241;-2.701468
MIGUEL LOMBARDI;PL;São Paulo;378;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;MINORIA;12.000094;16.240698
PR. MARCO FELICIANO;Podemos;São Paulo;379;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;;MINORIA;3.8621502;-10.38149
PAULO FREIRE COSTA;PL;São Paulo;380;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;-15.369909;7.9491158
LUIZ FLÁVIO GOMES;PSB;São Paulo;381;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Sim;Não;;OPOSIÇÃO;17.276598;6.1002827
NILTO TATTO;PT;São Paulo;382;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Obstrução;Não Votou;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-22.741358;-22.134466
RICARDO IZAR;PP;São Paulo;383;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;-16.077055;5.643929
RODRIGO AGOSTINHO;PSB;São Paulo;384;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;;OPOSIÇÃO;-9.53483;-20.188498
ROBERTO DE LUCENA;Podemos;São Paulo;385;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;;MINORIA;-14.166567;0.90621674
ORLANDO SILVA;PCdoB;São Paulo;386;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;Obstrução;Não Votou;Não;Não Votou;Sim;Não;Sim;Sim;;OPOSIÇÃO;7.134844;15.359054
ROBERTO ALVES;PRB;São Paulo;387;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;10.2645445;0.75686437
ROSANA VALLE;PSB;São Paulo;388;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-10.158778;-15.492561
SAMUEL MOREIRA;PSDB;São Paulo;389;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;;GOVERNO;13.0238905;6.2297225
RUI FALCÃO;PT;São Paulo;390;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Obstrução;Não Votou;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-21.183836;-22.522612
SÂMIA BOMFIM;PSOL;São Paulo;391;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Obstrução;Não Votou;Não;Sim;Obstrução;Obstrução;Não;;OPOSIÇÃO;-2.8422704;-18.275187
TIRIRICA;PL;São Paulo;392;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;MINORIA;11.8306;16.654505
TABATA AMARAL;PDT;São Paulo;393;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não;;MINORIA;-10.459677;1.0055945
VANDERLEI MACRIS;PSDB;São Paulo;394;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não;;GOVERNO;3.2482228;-6.5348544
VINICIUS POIT;NOVO;São Paulo;395;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;19.731806;-12.592824
VICENTINHO;PT;São Paulo;396;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-10.238477;-13.518786
VINICIUS CARVALHO;PRB;São Paulo;397;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;13.295355;23.920944
CARLOS ZARATTINI;PT;São Paulo;398;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.439363;-22.089684
VITOR LIPPI;PSDB;São Paulo;399;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;11.754541;14.63413
JUAREZ COSTA;MDB;Mato Grosso;401;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;14.492834;15.310162
DR. LEONARDO;Solidariedade;Mato Grosso;402;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;14.316688;17.091154
EMANUEL PINHEIRO NETO;PTB;Mato Grosso;403;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;11.810845;17.013771
JOSÉ MEDEIROS;Podemos;Mato Grosso;404;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Não;Não Votou;Não;Não;;MINORIA;-7.57587;1.0679878
NELSON BARBUDO;PSL;Mato Grosso;405;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Não;;GOVERNO;-9.26421;-2.1454966
NERI GELLER;PP;Mato Grosso;406;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;-14.871595;7.397291
ERIKA KOKAY;PT;Distrito Federal;407;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Obstrução;Não;Não Votou;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-22.778152;-20.951515
PROFESSORA ROSA NEIDE;PT;Mato Grosso;408;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-10.185196;-14.732507
BIA KICIS;PSL;Distrito Federal;409;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Abstenção;Sim;Não;Não;Não Votou;Sim;Não;Não Votou;Não;Não;;GOVERNO;21.453173;-10.386779
CELINA LEÃO;PP;Distrito Federal;410;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;5.504488;-9.298962
FLÁVIA ARRUDA;PL;Distrito Federal;411;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;MINORIA;13.815241;19.650589
JULIO CESAR RIBEIRO;PRB;Distrito Federal;412;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;16.244576;18.77478
PAULA BELMONTE;CIDADANIA;Distrito Federal;414;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;;MINORIA;10.830853;1.6773676
PROFESSOR ISRAEL BATISTA;PV;Distrito Federal;415;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;MINORIA;-4.176881;-18.203077
ADRIANO DO BALDY;PP;Goiás;416;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;13.00625;20.073027
CÉLIO SILVEIRA;PSDB;Goiás;417;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Não;;GOVERNO;-7.971083;-2.3942828
JOÃO CAMPOS;PRB;Goiás;418;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Sim;;GOVERNO;-13.033351;8.03734
ALCIDES RODRIGUES;Patriota;Goiás;419;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não;;MINORIA;16.89079;-16.940105
DR. ZACHARIAS CALIL;DEM;Goiás;420;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;-15.206738;5.53561
DELEGADO WALDIR;PSL;Goiás;421;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;;GOVERNO;-7.973238;1.9923546
FLÁVIA MORAIS;PDT;Goiás;422;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não Votou;Sim;;MINORIA;-15.553918;3.9823716
ELIAS VAZ;PSB;Goiás;423;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Obstrução;Obstrução;Não;Não Votou;Sim;Sim;Sim;Não;;OPOSIÇÃO;-9.789523;-21.560541
FRANCISCO JR.;PSD;Goiás;424;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Não;;GOVERNO;8.118904;-9.222425
RUBENS OTONI;PT;Goiás;425;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-21.68352;-24.994453
GLAUSTIN FOKUS;PSC;Goiás;426;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não Votou;Sim;Não;;GOVERNO;-11.275992;1.2436182
JOSE MARIO SCHREINER;DEM;Goiás;427;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-14.4791355;6.797818
JOSÉ NELTO;Podemos;Goiás;428;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;;MINORIA;-9.245787;0.6681099
MAJOR VITOR HUGO;PSL;Goiás;429;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;;GOVERNO;-8.272093;-1.1814849
LUCAS VERGILIO;Solidariedade;Goiás;430;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;;MINORIA;-7.2123475;-0.96721935
MAGDA MOFATTO;PL;Goiás;431;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;;MINORIA;-15.267376;2.2778618
PROFESSOR ALCIDES;PP;Goiás;432;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;-15.226846;6.620636
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;-15.975449;5.410279
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-10.596938;-12.681373
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Sim;Não;Não;Não;;GOVERNO;9.115343;-6.5071273
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;;GOVERNO;16.783508;0.38216296
VANDER LOUBET;PT;Mato Grosso do Sul;438;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;;OPOSIÇÃO;-15.142457;-16.064001
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não;;GOVERNO;16.091848;-12.132753
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;7.0660024;-9.607194
ALIEL MACHADO;PSB;Paraná;441;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Obstrução;Não;Não Votou;Sim;Não Votou;Não Votou;Não;;OPOSIÇÃO;2.6248035;-6.755751
CHRISTIANE DE SOUZA YARED;PL;Paraná;442;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;;MINORIA;4.125394;15.1843605
ALINE SLEUTJES;PSL;Paraná;443;Sim;Abstenção;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;Não;;GOVERNO;21.280107;-12.316608
AROLDO MARTINS;PRB;Paraná;444;Sim;Sim;Sim;Sim;Sim;Abstenção;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;12.869399;15.338103
BOCA ABERTA;PROS;Paraná;445;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;;MINORIA;-4.930677;-15.651053
FELIPE FRANCISCHINI;PSL;Paraná;446;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Não;Não Votou;Não Votou;Não Votou;;GOVERNO;15.759194;-4.4382734
DIEGO GARCIA;Podemos;Paraná;447;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;;MINORIA;9.115455;-6.506761
HERMES PARCIANELLO;MDB;Paraná;448;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;GOVERNO;0.6369056;4.4139123
ENIO VERRI;PT;Paraná;449;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-16.466097;-20.775208
FILIPE BARROS;PSL;Paraná;450;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não;Sim;Não;Não;;GOVERNO;15.1420555;-6.8838396
GLEISI HOFFMANN;PT;Paraná;451;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;;OPOSIÇÃO;-12.597009;4.4983354
GUSTAVO FRUET;PDT;Paraná;452;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;;MINORIA;-13.424994;-13.111802
LEANDRE;PV;Paraná;453;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;;MINORIA;-8.767792;-1.2533388
LUISA CANZIANI;PTB;Paraná;454;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Não;;GOVERNO;9.661681;-11.227332
VERMELHO;PSD;Paraná;455;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Sim;;GOVERNO;16.469875;-0.63487947
LUCIANO DUCCI;PSB;Paraná;457;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Sim;Sim;Não;;OPOSIÇÃO;-10.044247;-20.305864
PAULO EDUARDO MARTINS;PSC;Paraná;458;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;Sim;Não;Não Votou;Não;Não;;GOVERNO;16.521786;-15.1723585
LUIZ NISHIMORI;PL;Paraná;459;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;5.494704;0.36459738
RUBENS BUENO;CIDADANIA;Paraná;460;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;8.9563265;1.9684563
PEDRO LUPION;DEM;Paraná;461;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;;GOVERNO;13.214224;9.529877
RICARDO BARROS;PP;Paraná;462;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;6.6341662;20.90443
LUIZÃO GOULART;PRB;Paraná;463;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;GOVERNO;16.552177;8.780226
SARGENTO FAHUR;PSD;Paraná;464;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;7.1183753;-9.43808
GIACOBO;PL;Paraná;466;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;;MINORIA;-8.470823;6.217006
SERGIO SOUZA;MDB;Paraná;467;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;8.328332;3.5738819
ZECA DIRCEU;PT;Paraná;468;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-11.076798;6.0407934
SCHIAVINATO;PP;Paraná;469;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;14.315571;17.088219
TONINHO WANDSCHEER;PROS;Paraná;470;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;;MINORIA;-18.528435;1.2686304
ANGELA AMIN;PP;Santa Catarina;471;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;;GOVERNO;5.236417;-8.237957
CELSO MALDANER;MDB;Santa Catarina;472;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Não;;GOVERNO;-11.4014635;2.8952594
